ID,Pathway
0,hsa05134
1,hsa00360
2,hsa05030
3,hsa04260
4,hsa04931
5,hsa04810
6,hsa04923
7,hsa04721
8,hsa04974
9,hsa05031
10,hsa04310
11,hsa00601
12,hsa05221
13,hsa00350
14,hsa00770
15,hsa00532
16,hsa00760
17,hsa05145
18,hsa00053
19,hsa04066
20,hsa00630
21,hsa00470
22,hsa05222
23,hsa04930
24,hsa04071
25,hsa00290
26,hsa05016
27,hsa05412
28,hsa04977
29,hsa05133
30,hsa00533
31,hsa00534
32,hsa03420
33,hsa04919
34,hsa04392
35,hsa00790
36,hsa05210
37,hsa04330
38,hsa04215
39,hsa00071
40,hsa00524
41,hsa04510
42,hsa04114
43,hsa00982
44,hsa05215
45,hsa04914
46,hsa04975
47,hsa05218
48,hsa04064
49,hsa04614
50,hsa04916
51,hsa04144
52,hsa04622
53,hsa01210
54,hsa00514
55,hsa05416
56,hsa04145
57,hsa04964
58,hsa04261
59,hsa05211
60,hsa00591
61,hsa04920
62,hsa04520
63,hsa00500
64,hsa04925
65,hsa04640
66,hsa04140
67,hsa04110
68,hsa00020
69,hsa00100
70,hsa00220
71,hsa05231
72,hsa00130
73,hsa05164
74,hsa04921
75,hsa05166
76,hsa04657
77,hsa04350
78,hsa04370
79,hsa05223
80,hsa05204
81,hsa04973
82,hsa03060
83,hsa00062
84,hsa03460
85,hsa03430
86,hsa00970
87,hsa04122
88,hsa05212
89,hsa04141
90,hsa05142
91,hsa00310
92,hsa04723
93,hsa04922
94,hsa05217
95,hsa04940
96,hsa00920
97,hsa04910
98,hsa04540
99,hsa03040
100,hsa05140
101,hsa05169
102,hsa01524
103,hsa04915
104,hsa00520
105,hsa03015
106,hsa00250
107,hsa04216
108,hsa05418
109,hsa04115
110,hsa00830
111,hsa03020
112,hsa05213
113,hsa05160
114,hsa05034
115,hsa00730
116,hsa03320
117,hsa00051
118,hsa04668
119,hsa05205
120,hsa00240
121,hsa04024
122,hsa04659
123,hsa04120
124,hsa00740
125,hsa04961
126,hsa04972
127,hsa04514
128,hsa05162
129,hsa00260
130,hsa05206
131,hsa00780
132,hsa04020
133,hsa01523
134,hsa04022
135,hsa04620
136,hsa00860
137,hsa00340
138,hsa00910
139,hsa04512
140,hsa05214
141,hsa04724
142,hsa00590
143,hsa04650
144,hsa05110
145,hsa04010
146,hsa00565
147,hsa04970
148,hsa04211
149,hsa00380
150,hsa04210
151,hsa05033
152,hsa04630
153,hsa04664
154,hsa05220
155,hsa04213
156,hsa00603
157,hsa03440
158,hsa04666
159,hsa04390
160,hsa00983
161,hsa01522
162,hsa04340
163,hsa03022
164,hsa00030
165,hsa04744
166,hsa05020
167,hsa05131
168,hsa05230
169,hsa04966
170,hsa04151
171,hsa04672
172,hsa00061
173,hsa04911
174,hsa04658
175,hsa05200
176,hsa05012
177,hsa05202
178,hsa00561
179,hsa04530
180,hsa04917
181,hsa04218
182,hsa04550
183,hsa05310
184,hsa04611
185,hsa00564
186,hsa04610
187,hsa05161
188,hsa04730
189,hsa00512
190,hsa00230
191,hsa04217
192,hsa04720
193,hsa04371
194,hsa00600
195,hsa04152
196,hsa04710
197,hsa04728
198,hsa04137
199,hsa00563
200,hsa04936
201,hsa01521
202,hsa05216
203,hsa00270
204,hsa00511
205,hsa05143
206,hsa00190
207,hsa04612
208,hsa05224
209,hsa05167
210,hsa05150
211,hsa05225
212,hsa04725
213,hsa04933
214,hsa04015
215,hsa04913
216,hsa04950
217,hsa05165
218,hsa04062
219,hsa00140
220,hsa01212
221,hsa04971
222,hsa04918
223,hsa00480
224,hsa04727
225,hsa00440
226,hsa03018
227,hsa00562
228,hsa04080
229,hsa04932
230,hsa00400
231,hsa00280
232,hsa05032
233,hsa04742
234,hsa00620
235,hsa05321
236,hsa00640
237,hsa04670
238,hsa04360
239,hsa00052
240,hsa00040
241,hsa00670
242,hsa05320
243,hsa00604
244,hsa04380
245,hsa03050
246,hsa00430
247,hsa00900
248,hsa04146
249,hsa00510
250,hsa00750
251,hsa05332
252,hsa05219
253,hsa00232
254,hsa00531
255,hsa05120
256,hsa00010
257,hsa04623
258,hsa04962
259,hsa04713
260,hsa04912
261,hsa05100
262,hsa00980
263,hsa01040
264,hsa05322
265,hsa04072
266,hsa05168
267,hsa04142
268,hsa05014
269,hsa04014
270,hsa04722
271,hsa05146
272,hsa04960
273,hsa00410
274,hsa05323
275,hsa04726
276,hsa05010
277,hsa05130
278,hsa04070
279,hsa04978
280,hsa04150
281,hsa03010
282,hsa00650
283,hsa00120
284,hsa05144
285,hsa04662
286,hsa00513
287,hsa04130
288,hsa03008
289,hsa04270
290,hsa04621
291,hsa01100
292,hsa05152
293,hsa00330
294,hsa04660
295,hsa05330
296,hsa04060
297,hsa05410
298,hsa05340
299,hsa04740
300,hsa05203
301,hsa03013
302,hsa04068
303,hsa04012
304,hsa00515
305,hsa00785
306,hsa05226
307,hsa04976
308,hsa04750
309,hsa04924
310,hsa00592
311,hsa05132
312,hsa05414
313,hsa00450
